,0,1
,993,"(14.764504000000001, -17.366029000000001)"
gt,143,"(-26.204103, 28.047305000000001)"
gr,8,"(53.219382999999993, 6.5665020000000016)"
roo,13,"(21.161908, -86.851528000000002)"
gz,4,"(30.013055999999999, 31.208853000000001)"
ge,432,"(46.198391999999998, 6.142296)"
015,38,"(55.642522, 12.475386)"
ga,2334,"(32.840695000000004, -83.632401999999999)"
go,10,"(-16.632731, -49.243600000000001)"
sct,85,"(55.864237000000003, -4.2518060000000002)"
alt,0,"(53.366667000000007, 83.75)"
ros,3,"(47.216667000000001, 39.700000000000003)"
gj,16,"(23.039567999999999, 72.566004000000007)"
ver,49,"(20.527059000000001, -97.462912000000003)"
tx,15576,"(29.424122000000001, -98.493628000000001)"
mwt,62,"(-40.352305999999999, 175.608215)"
tv,14,"(45.666901000000003, 12.243039)"
auk,1551,"(-36.848460000000003, 174.76333099999999)"
ts,3,"(45.649535, 13.777972)"
tp,2,"(37.798045000000002, 12.437016)"
tn,1184,"(36.353884999999998, -87.144726000000006)"
to,220,"(45.062902000000001, 7.6784899999999991)"
tm,47,"(45.755538999999999, 21.237499)"
th,14,"(51.209865000000001, 10.457100000000001)"
ti,4,"(46.006512000000001, 8.9523119999999992)"
tg,13,"(47.565866, 9.1101840000000003)"
te,0,"(42.661143000000003, 13.698664000000001)"
ta,69,"(32.085299999999997, 34.781768)"
vli,0,"(50.815725, 5.1862510000000004)"
g1,0,"(11.558831, 104.917445)"
gua,11,"(21.123619000000001, -101.68049600000001)"
mb,238,"(49.848471000000004, -99.950090000000003)"
p,1,"(49.116038000000003, -1.0913980000000001)"
zl,0,"(49.224753, 17.672753)"
zh,87,"(51.870336999999999, 4.6702019999999997)"
alx,4,"(31.200092000000001, 29.918738999999999)"
ze,1,"(51.507190999999999, 3.89167)"
zg,2,"(47.180194999999998, 8.456074000000001)"
za,1,"(46.841693999999997, 16.841632000000001)"
cav,2,"(14.449999999999999, 120.95)"
zp,2,"(53.428544000000002, 14.552811999999999)"
suc,1,"(9.2949999999999999, -75.396111000000005)"
klu,0,"(55.112158999999998, 36.606985999999999)"
ner,4,"(10.640739, 122.96895600000001)"
mp,2,"(23.259933, 77.412615000000002)"
ms,1454,"(32.428476000000003, -90.132309000000006)"
v,275,"(39.469906999999999, -0.37628800000000001)"
met,3,"(4.1500000000000004, -73.633332999999993)"
hkb,35,"(-39.639578, 176.83923200000001)"
ley,1,"(11.25, 125.0)"
mex,26,"(19.645378000000001, -99.211222000000006)"
boy,2,"(5.5333329999999998, -73.366667000000007)"
39,0,"(29.866700000000002, 77.883300000000006)"
38,0,"(41.266666999999998, 69.216667000000001)"
bop,158,"(-37.687797000000003, 176.16513)"
32,2,"(6.9270789999999991, 79.861243000000002)"
k,18,"(42.698684, 2.8958719999999998)"
